Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.6497, 'learning_rate': 0.0009590075512405609, 'epoch': 0.16}
{'loss': 1.6186, 'learning_rate': 0.0009584681769147788, 'epoch': 0.17}
{'loss': 1.7216, 'learning_rate': 0.0009579288025889967, 'epoch': 0.17}
{'loss': 1.598, 'learning_rate': 0.0009573894282632147, 'epoch': 0.17}
{'loss': 1.6649, 'learning_rate': 0.0009568500539374326, 'epoch': 0.17}
{'loss': 1.4522, 'learning_rate': 0.0009563106796116505, 'epoch': 0.17}
{'loss': 1.5858, 'learning_rate': 0.0009557713052858684, 'epoch': 0.18}
{'loss': 1.4704, 'learning_rate': 0.0009552319309600863, 'epoch': 0.18}
{'loss': 1.5453, 'learning_rate': 0.0009546925566343042, 'epoch': 0.18}
{'loss': 1.6944, 'learning_rate': 0.0009541531823085221, 'epoch': 0.18}
{'loss': 1.6229, 'learning_rate': 0.00095361380798274, 'epoch': 0.19}
{'loss': 1.7821, 'learning_rate': 0.0009530744336569579, 'epoch': 0.19}
{'loss': 1.4522, 'learning_rate': 0.0009525350593311759, 'epoch': 0.19}
{'loss': 1.5192, 'learning_rate': 0.0009519956850053938, 'epoch': 0.19}
{'loss': 1.7565, 'learning_rate': 0.0009514563106796116, 'epoch': 0.19}
{'loss': 1.7675, 'learning_rate': 0.0009509169363538295, 'epoch': 0.2}
{'loss': 1.5876, 'learning_rate': 0.0009503775620280474, 'epoch': 0.2}
{'loss': 1.5795, 'learning_rate': 0.0009498381877022653, 'epoch': 0.2}
{'loss': 1.6598, 'learning_rate': 0.0009492988133764832, 'epoch': 0.2}
{'loss': 1.3977, 'learning_rate': 0.0009487594390507012, 'epoch': 0.2}
{'loss': 1.4348, 'learning_rate': 0.000948220064724919, 'epoch': 0.21}
{'loss': 1.6182, 'learning_rate': 0.0009476806903991371, 'epoch': 0.21}
{'loss': 1.5674, 'learning_rate': 0.000947141316073355, 'epoch': 0.21}
{'loss': 1.5146, 'learning_rate': 0.0009466019417475729, 'epoch': 0.21}
{'loss': 1.5925, 'learning_rate': 0.0009460625674217908, 'epoch': 0.22}
