Initializing soft prompt...
{'logging': 1, 'method': 'prompt_tuning', 'model': 'gpt2-large', 'task': 't2t', 'mode': 'train', 'train_set': 'webnlg', 'val_set': 'SQuAD', 'test_set': 'DuoRC.ParaphraseRC', 'model_dir': 'none', 'soft_prompt_path': None, 'n_tokens': 1, 'initialize_from_vocab': True, 'random_range': 0.5, 'bz': 4, 'lr': 0.001, 'epoch': 4, 'optimizer': 'adafactor', 'clip_threshold': 1.0, 'scale_parameter': False, 'relative_step': False, 'warmup_init': False, 'path': 'prompt_tuning/webnlg/gpt2-large/1/2022-03-04-040102'}
{'loss': 1.6734, 'learning_rate': 0.000922343021965831, 'epoch': 0.31}
{'loss': 1.5225, 'learning_rate': 0.0009212336365653429, 'epoch': 0.32}
{'loss': 1.6447, 'learning_rate': 0.0009201242511648547, 'epoch': 0.32}
{'loss': 1.6114, 'learning_rate': 0.0009190148657643666, 'epoch': 0.32}
{'loss': 1.8781, 'learning_rate': 0.0009179054803638785, 'epoch': 0.33}
{'loss': 1.5872, 'learning_rate': 0.0009167960949633903, 'epoch': 0.33}
{'loss': 1.8093, 'learning_rate': 0.0009156867095629021, 'epoch': 0.34}
{'loss': 1.7746, 'learning_rate': 0.000914577324162414, 'epoch': 0.34}
{'loss': 1.7835, 'learning_rate': 0.0009134679387619259, 'epoch': 0.35}
{'loss': 1.6699, 'learning_rate': 0.0009123585533614378, 'epoch': 0.35}
{'loss': 2.2543, 'learning_rate': 0.0009112491679609497, 'epoch': 0.36}
{'loss': 1.5772, 'learning_rate': 0.0009101397825604614, 'epoch': 0.36}
{'loss': 1.6415, 'learning_rate': 0.0009090303971599733, 'epoch': 0.36}
{'loss': 1.5289, 'learning_rate': 0.0009079210117594853, 'epoch': 0.37}
{'loss': 2.0664, 'learning_rate': 0.0009068116263589972, 'epoch': 0.37}
{'loss': 1.7405, 'learning_rate': 0.000905702240958509, 'epoch': 0.38}
{'loss': 1.8854, 'learning_rate': 0.0009045928555580209, 'epoch': 0.38}
{'loss': 1.7289, 'learning_rate': 0.0009034834701575328, 'epoch': 0.39}
{'loss': 1.5503, 'learning_rate': 0.0009023740847570446, 'epoch': 0.39}
{'loss': 1.7495, 'learning_rate': 0.0009012646993565565, 'epoch': 0.39}
{'loss': 1.4945, 'learning_rate': 0.0009001553139560683, 'epoch': 0.4}
{'loss': 1.9001, 'learning_rate': 0.0008990459285555802, 'epoch': 0.4}
{'loss': 1.6594, 'learning_rate': 0.0008979365431550921, 'epoch': 0.41}
{'loss': 1.8355, 'learning_rate': 0.000896827157754604, 'epoch': 0.41}
{'loss': 1.9252, 'learning_rate': 0.0008957177723541159, 'epoch': 0.42}
{'loss': 1.6607, 'learning_rate': 0.0008946083869536276, 'epoch': 0.42}
{'loss': 1.8315, 'learning_rate': 0.0008934990015531395, 'epoch': 0.43}
{'loss': 1.4698, 'learning_rate': 0.0008923896161526514, 'epoch': 0.43}
{'loss': 1.6813, 'learning_rate': 0.0008912802307521634, 'epoch': 0.43}
{'loss': 1.791, 'learning_rate': 0.0008901708453516752, 'epoch': 0.44}
{'loss': 1.717, 'learning_rate': 0.0008890614599511871, 'epoch': 0.44}
{'loss': 1.8237, 'learning_rate': 0.000887952074550699, 'epoch': 0.45}
{'loss': 1.5102, 'learning_rate': 0.0008868426891502108, 'epoch': 0.45}
{'loss': 2.1105, 'learning_rate': 0.0008857333037497227, 'epoch': 0.46}
{'loss': 1.5543, 'learning_rate': 0.0008846239183492345, 'epoch': 0.46}
{'loss': 1.8138, 'learning_rate': 0.0008835145329487464, 'epoch': 0.47}
{'loss': 1.7779, 'learning_rate': 0.0008824051475482583, 'epoch': 0.47}
{'loss': 1.7411, 'learning_rate': 0.0008812957621477702, 'epoch': 0.47}
{'loss': 1.4233, 'learning_rate': 0.000880186376747282, 'epoch': 0.48}
{'loss': 1.687, 'learning_rate': 0.0008790769913467938, 'epoch': 0.48}
{'loss': 1.6592, 'learning_rate': 0.0008779676059463057, 'epoch': 0.49}
{'loss': 1.6693, 'learning_rate': 0.0008768582205458176, 'epoch': 0.49}
{'loss': 2.0623, 'learning_rate': 0.0008757488351453295, 'epoch': 0.5}
{'loss': 1.7826, 'learning_rate': 0.0008746394497448414, 'epoch': 0.5}
{'loss': 1.5209, 'learning_rate': 0.0008735300643443533, 'epoch': 0.51}
{'loss': 1.7354, 'learning_rate': 0.0008724206789438652, 'epoch': 0.51}
{'loss': 1.9759, 'learning_rate': 0.000871311293543377, 'epoch': 0.51}
{'loss': 1.6315, 'learning_rate': 0.0008702019081428889, 'epoch': 0.52}
{'loss': 1.7472, 'learning_rate': 0.0008690925227424007, 'epoch': 0.52}
{'loss': 1.7161, 'learning_rate': 0.0008679831373419126, 'epoch': 0.53}
{'loss': 1.6911, 'learning_rate': 0.0008668737519414245, 'epoch': 0.53}
{'loss': 1.5762, 'learning_rate': 0.0008657643665409364, 'epoch': 0.54}
{'loss': 1.71, 'learning_rate': 0.0008646549811404481, 'epoch': 0.54}
{'loss': 1.8362, 'learning_rate': 0.00086354559573996, 'epoch': 0.55}
{'loss': 1.864, 'learning_rate': 0.0008624362103394719, 'epoch': 0.55}
{'loss': 1.7386, 'learning_rate': 0.0008613268249389838, 'epoch': 0.55}
{'loss': 1.7502, 'learning_rate': 0.0008602174395384957, 'epoch': 0.56}
{'loss': 1.6359, 'learning_rate': 0.0008591080541380075, 'epoch': 0.56}
{'loss': 1.6542, 'learning_rate': 0.0008579986687375195, 'epoch': 0.57}
{'loss': 1.5085, 'learning_rate': 0.0008568892833370314, 'epoch': 0.57}
{'loss': 1.4948, 'learning_rate': 0.0008557798979365432, 'epoch': 0.58}
{'loss': 1.8073, 'learning_rate': 0.000854670512536055, 'epoch': 0.58}
{'loss': 1.6897, 'learning_rate': 0.0008535611271355669, 'epoch': 0.59}
{'loss': 1.5975, 'learning_rate': 0.0008524517417350788, 'epoch': 0.59}
{'loss': 1.5988, 'learning_rate': 0.0008513423563345907, 'epoch': 0.59}
{'loss': 1.6492, 'learning_rate': 0.0008502329709341026, 'epoch': 0.6}
{'loss': 1.5844, 'learning_rate': 0.0008491235855336143, 'epoch': 0.6}
{'loss': 1.571, 'learning_rate': 0.0008480142001331262, 'epoch': 0.61}
{'loss': 1.5457, 'learning_rate': 0.0008469048147326381, 'epoch': 0.61}
{'loss': 1.5603, 'learning_rate': 0.00084579542933215, 'epoch': 0.62}
{'loss': 1.5552, 'learning_rate': 0.0008446860439316619, 'epoch': 0.62}
{'loss': 1.7075, 'learning_rate': 0.0008435766585311737, 'epoch': 0.63}
{'loss': 1.5818, 'learning_rate': 0.0008424672731306856, 'epoch': 0.63}
{'loss': 1.4873, 'learning_rate': 0.0008413578877301976, 'epoch': 0.63}
{'loss': 1.5153, 'learning_rate': 0.0008402485023297094, 'epoch': 0.64}
{'loss': 1.4403, 'learning_rate': 0.0008391391169292212, 'epoch': 0.64}
{'loss': 1.487, 'learning_rate': 0.0008380297315287331, 'epoch': 0.65}
{'loss': 1.7315, 'learning_rate': 0.000836920346128245, 'epoch': 0.65}
{'loss': 1.5703, 'learning_rate': 0.0008358109607277569, 'epoch': 0.66}
{'loss': 1.604, 'learning_rate': 0.0008347015753272688, 'epoch': 0.66}
{'loss': 1.9114, 'learning_rate': 0.0008335921899267805, 'epoch': 0.67}
{'loss': 1.6724, 'learning_rate': 0.0008324828045262924, 'epoch': 0.67}
{'loss': 1.4852, 'learning_rate': 0.0008313734191258043, 'epoch': 0.67}
{'loss': 1.5095, 'learning_rate': 0.0008302640337253162, 'epoch': 0.68}
{'loss': 1.3776, 'learning_rate': 0.000829154648324828, 'epoch': 0.68}
{'loss': 1.6273, 'learning_rate': 0.0008280452629243399, 'epoch': 0.69}
{'loss': 1.8535, 'learning_rate': 0.0008269358775238518, 'epoch': 0.69}
{'loss': 1.5667, 'learning_rate': 0.0008258264921233636, 'epoch': 0.7}
{'loss': 1.8181, 'learning_rate': 0.0008247171067228756, 'epoch': 0.7}
{'loss': 1.4884, 'learning_rate': 0.0008236077213223874, 'epoch': 0.71}
{'loss': 1.4467, 'learning_rate': 0.0008224983359218993, 'epoch': 0.71}
{'loss': 1.4963, 'learning_rate': 0.0008213889505214112, 'epoch': 0.71}
{'loss': 1.5046, 'learning_rate': 0.0008202795651209231, 'epoch': 0.72}
{'loss': 1.6705, 'learning_rate': 0.000819170179720435, 'epoch': 0.72}
{'loss': 1.6605, 'learning_rate': 0.0008180607943199467, 'epoch': 0.73}
{'loss': 1.7893, 'learning_rate': 0.0008169514089194586, 'epoch': 0.73}
{'loss': 1.4646, 'learning_rate': 0.0008158420235189705, 'epoch': 0.74}
{'loss': 1.5753, 'learning_rate': 0.0008147326381184824, 'epoch': 0.74}
{'loss': 1.4359, 'learning_rate': 0.0008136232527179942, 'epoch': 0.75}
{'loss': 1.375, 'learning_rate': 0.0008125138673175061, 'epoch': 0.75}
{'loss': 1.6527, 'learning_rate': 0.000811404481917018, 'epoch': 0.75}
{'loss': 1.3835, 'learning_rate': 0.0008102950965165298, 'epoch': 0.76}
{'loss': 1.5, 'learning_rate': 0.0008091857111160417, 'epoch': 0.76}
{'loss': 1.823, 'learning_rate': 0.0008080763257155536, 'epoch': 0.77}
{'loss': 1.5031, 'learning_rate': 0.0008069669403150655, 'epoch': 0.77}
{'loss': 1.5748, 'learning_rate': 0.0008058575549145774, 'epoch': 0.78}
{'loss': 1.448, 'learning_rate': 0.0008047481695140893, 'epoch': 0.78}
{'loss': 1.5031, 'learning_rate': 0.000803638784113601, 'epoch': 0.79}
{'loss': 1.5586, 'learning_rate': 0.0008025293987131129, 'epoch': 0.79}
{'loss': 1.5597, 'learning_rate': 0.0008014200133126248, 'epoch': 0.79}
{'loss': 1.501, 'learning_rate': 0.0008003106279121367, 'epoch': 0.8}
{'loss': 1.5751, 'learning_rate': 0.0007992012425116486, 'epoch': 0.8}
{'loss': 1.5794, 'learning_rate': 0.0007980918571111604, 'epoch': 0.81}
{'loss': 1.5397, 'learning_rate': 0.0007969824717106723, 'epoch': 0.81}
{'loss': 1.5041, 'learning_rate': 0.0007958730863101842, 'epoch': 0.82}
{'loss': 1.6108, 'learning_rate': 0.000794763700909696, 'epoch': 0.82}
{'loss': 1.3663, 'learning_rate': 0.0007936543155092079, 'epoch': 0.83}
{'loss': 1.436, 'learning_rate': 0.0007925449301087197, 'epoch': 0.83}
{'loss': 1.5033, 'learning_rate': 0.0007914355447082317, 'epoch': 0.83}
{'loss': 1.5618, 'learning_rate': 0.0007903261593077436, 'epoch': 0.84}
{'loss': 1.5022, 'learning_rate': 0.0007892167739072555, 'epoch': 0.84}
{'loss': 1.3787, 'learning_rate': 0.0007881073885067673, 'epoch': 0.85}
{'loss': 1.6233, 'learning_rate': 0.0007869980031062791, 'epoch': 0.85}
{'loss': 1.5167, 'learning_rate': 0.000785888617705791, 'epoch': 0.86}
{'loss': 1.551, 'learning_rate': 0.0007847792323053029, 'epoch': 0.86}
{'loss': 1.5283, 'learning_rate': 0.0007836698469048148, 'epoch': 0.87}
{'loss': 1.5989, 'learning_rate': 0.0007825604615043266, 'epoch': 0.87}
{'loss': 1.6176, 'learning_rate': 0.0007814510761038385, 'epoch': 0.87}
{'loss': 1.5506, 'learning_rate': 0.0007803416907033504, 'epoch': 0.88}
{'loss': 1.3999, 'learning_rate': 0.0007792323053028622, 'epoch': 0.88}
{'loss': 1.7047, 'learning_rate': 0.000778122919902374, 'epoch': 0.89}
{'loss': 1.4855, 'learning_rate': 0.0007770135345018859, 'epoch': 0.89}
{'loss': 1.7224, 'learning_rate': 0.0007759041491013978, 'epoch': 0.9}
{'loss': 1.6297, 'learning_rate': 0.0007747947637009098, 'epoch': 0.9}
{'loss': 1.6007, 'learning_rate': 0.0007736853783004217, 'epoch': 0.91}
{'loss': 1.3672, 'learning_rate': 0.0007725759928999335, 'epoch': 0.91}
{'loss': 1.5405, 'learning_rate': 0.0007714666074994453, 'epoch': 0.91}
{'loss': 1.4844, 'learning_rate': 0.0007703572220989572, 'epoch': 0.92}
{'loss': 1.3962, 'learning_rate': 0.0007692478366984691, 'epoch': 0.92}
{'loss': 1.605, 'learning_rate': 0.000768138451297981, 'epoch': 0.93}
{'loss': 1.5164, 'learning_rate': 0.0007670290658974928, 'epoch': 0.93}
{'loss': 1.5931, 'learning_rate': 0.0007659196804970047, 'epoch': 0.94}
{'loss': 1.5081, 'learning_rate': 0.0007648102950965165, 'epoch': 0.94}
{'loss': 1.3556, 'learning_rate': 0.0007637009096960284, 'epoch': 0.95}
{'loss': 1.5102, 'learning_rate': 0.0007625915242955402, 'epoch': 0.95}
{'loss': 1.5662, 'learning_rate': 0.0007614821388950521, 'epoch': 0.95}
{'loss': 1.5274, 'learning_rate': 0.000760372753494564, 'epoch': 0.96}
{'loss': 1.4461, 'learning_rate': 0.0007592633680940759, 'epoch': 0.96}
{'loss': 1.5963, 'learning_rate': 0.0007581539826935879, 'epoch': 0.97}
{'loss': 1.444, 'learning_rate': 0.0007570445972930996, 'epoch': 0.97}
{'loss': 1.5914, 'learning_rate': 0.0007559352118926115, 'epoch': 0.98}
{'loss': 1.5923, 'learning_rate': 0.0007548258264921234, 'epoch': 0.98}
{'loss': 1.5023, 'learning_rate': 0.0007537164410916353, 'epoch': 0.99}
{'loss': 1.3285, 'learning_rate': 0.0007526070556911471, 'epoch': 0.99}
{'loss': 1.6771, 'learning_rate': 0.000751497670290659, 'epoch': 0.99}
{'loss': 1.4361, 'learning_rate': 0.0007503882848901709, 'epoch': 1.0}
{'loss': 1.615, 'learning_rate': 0.0007492788994896827, 'epoch': 1.0}
{'loss': 1.593, 'learning_rate': 0.0007481695140891946, 'epoch': 1.01}
{'loss': 1.3622, 'learning_rate': 0.0007470601286887064, 'epoch': 1.01}
{'loss': 1.4772, 'learning_rate': 0.0007459507432882183, 'epoch': 1.02}
{'loss': 1.5738, 'learning_rate': 0.0007448413578877302, 'epoch': 1.02}
{'loss': 1.477, 'learning_rate': 0.0007437319724872421, 'epoch': 1.03}
{'loss': 1.5954, 'learning_rate': 0.000742622587086754, 'epoch': 1.03}
{'loss': 1.5603, 'learning_rate': 0.0007415132016862658, 'epoch': 1.03}
{'loss': 1.638, 'learning_rate': 0.0007404038162857777, 'epoch': 1.04}
{'loss': 1.3706, 'learning_rate': 0.0007392944308852896, 'epoch': 1.04}
{'loss': 1.4742, 'learning_rate': 0.0007381850454848015, 'epoch': 1.05}
{'loss': 1.5843, 'learning_rate': 0.0007370756600843133, 'epoch': 1.05}
{'loss': 1.477, 'learning_rate': 0.0007359662746838252, 'epoch': 1.06}
{'loss': 1.3789, 'learning_rate': 0.0007348568892833371, 'epoch': 1.06}
{'loss': 1.325, 'learning_rate': 0.0007337475038828489, 'epoch': 1.07}
{'loss': 1.4941, 'learning_rate': 0.0007326381184823608, 'epoch': 1.07}
{'loss': 1.4579, 'learning_rate': 0.0007315287330818726, 'epoch': 1.07}
{'loss': 1.3814, 'learning_rate': 0.0007304193476813845, 'epoch': 1.08}
{'loss': 1.4267, 'learning_rate': 0.0007293099622808964, 'epoch': 1.08}
{'loss': 1.472, 'learning_rate': 0.0007282005768804083, 'epoch': 1.09}
{'loss': 1.2749, 'learning_rate': 0.00072709119147992, 'epoch': 1.09}
{'loss': 1.4405, 'learning_rate': 0.0007259818060794319, 'epoch': 1.1}
{'loss': 1.5637, 'learning_rate': 0.0007248724206789439, 'epoch': 1.1}
{'loss': 1.6313, 'learning_rate': 0.0007237630352784558, 'epoch': 1.1}
{'loss': 1.4477, 'learning_rate': 0.0007226536498779677, 'epoch': 1.11}
{'loss': 1.5508, 'learning_rate': 0.0007215442644774795, 'epoch': 1.11}
{'loss': 1.6495, 'learning_rate': 0.0007204348790769914, 'epoch': 1.12}
{'loss': 1.6205, 'learning_rate': 0.0007193254936765033, 'epoch': 1.12}
{'loss': 1.5215, 'learning_rate': 0.0007182161082760151, 'epoch': 1.13}
{'loss': 1.3299, 'learning_rate': 0.0007171067228755269, 'epoch': 1.13}
{'loss': 1.4332, 'learning_rate': 0.0007159973374750388, 'epoch': 1.14}
{'loss': 1.4519, 'learning_rate': 0.0007148879520745507, 'epoch': 1.14}
{'loss': 1.477, 'learning_rate': 0.0007137785666740626, 'epoch': 1.14}
{'loss': 1.4053, 'learning_rate': 0.0007126691812735745, 'epoch': 1.15}
{'loss': 1.3877, 'learning_rate': 0.0007115597958730862, 'epoch': 1.15}
{'loss': 1.5197, 'learning_rate': 0.0007104504104725981, 'epoch': 1.16}
{'loss': 1.335, 'learning_rate': 0.00070934102507211, 'epoch': 1.16}
{'loss': 1.4509, 'learning_rate': 0.000708231639671622, 'epoch': 1.17}
{'loss': 1.527, 'learning_rate': 0.0007071222542711339, 'epoch': 1.17}
{'loss': 1.4514, 'learning_rate': 0.0007060128688706457, 'epoch': 1.18}
{'loss': 1.4549, 'learning_rate': 0.0007049034834701576, 'epoch': 1.18}
{'loss': 1.4708, 'learning_rate': 0.0007037940980696695, 'epoch': 1.18}
{'loss': 1.4625, 'learning_rate': 0.0007026847126691813, 'epoch': 1.19}
{'loss': 1.4846, 'learning_rate': 0.0007015753272686931, 'epoch': 1.19}
{'loss': 1.5575, 'learning_rate': 0.000700465941868205, 'epoch': 1.2}
{'loss': 1.3727, 'learning_rate': 0.0006993565564677169, 'epoch': 1.2}
{'loss': 1.4396, 'learning_rate': 0.0006982471710672288, 'epoch': 1.21}
{'loss': 1.4645, 'learning_rate': 0.0006971377856667407, 'epoch': 1.21}
{'loss': 1.5873, 'learning_rate': 0.0006960284002662524, 'epoch': 1.22}
{'loss': 1.5565, 'learning_rate': 0.0006949190148657643, 'epoch': 1.22}
{'loss': 1.5351, 'learning_rate': 0.0006938096294652762, 'epoch': 1.22}
{'loss': 1.4316, 'learning_rate': 0.0006927002440647881, 'epoch': 1.23}
{'loss': 1.3834, 'learning_rate': 0.0006915908586642999, 'epoch': 1.23}
{'loss': 1.3969, 'learning_rate': 0.0006904814732638119, 'epoch': 1.24}
{'loss': 1.3236, 'learning_rate': 0.0006893720878633238, 'epoch': 1.24}
{'loss': 1.4451, 'learning_rate': 0.0006882627024628357, 'epoch': 1.25}
{'loss': 1.504, 'learning_rate': 0.0006871533170623475, 'epoch': 1.25}
{'loss': 1.4831, 'learning_rate': 0.0006860439316618593, 'epoch': 1.26}
{'loss': 1.4869, 'learning_rate': 0.0006849345462613712, 'epoch': 1.26}
{'loss': 1.513, 'learning_rate': 0.0006838251608608831, 'epoch': 1.26}
{'loss': 1.5144, 'learning_rate': 0.000682715775460395, 'epoch': 1.27}
{'loss': 1.5196, 'learning_rate': 0.0006816063900599069, 'epoch': 1.27}
{'loss': 1.5187, 'learning_rate': 0.0006804970046594186, 'epoch': 1.28}
{'loss': 1.435, 'learning_rate': 0.0006793876192589305, 'epoch': 1.28}
{'loss': 1.6278, 'learning_rate': 0.0006782782338584424, 'epoch': 1.29}
{'loss': 1.4454, 'learning_rate': 0.0006771688484579543, 'epoch': 1.29}
{'loss': 1.3558, 'learning_rate': 0.0006760594630574661, 'epoch': 1.3}
{'loss': 1.6372, 'learning_rate': 0.000674950077656978, 'epoch': 1.3}
{'loss': 1.3532, 'learning_rate': 0.00067384069225649, 'epoch': 1.3}
{'loss': 1.36, 'learning_rate': 0.0006727313068560019, 'epoch': 1.31}
{'loss': 1.5471, 'learning_rate': 0.0006716219214555137, 'epoch': 1.31}
{'loss': 1.35, 'learning_rate': 0.0006705125360550255, 'epoch': 1.32}
